{097} 	215.250		2.0625277E-03		1.6043994E-06	;
{098} 	214.093		2.0268122E-03		5.3947667E-07	;
{099} 	214.153		1.9791629E-03		1.6221170E-06	;
{100} 	211.940		1.9715503E-03		1.9985430E-06	;
{101} 	211.197		1.9885795E-03		2.1855710E-06	;
{102} 	213.510		1.9629716E-03		1.7849455E-06	;
{103} 	212.644		2.1034062E-03		1.3591820E-06	;
{104} 	213.753		2.1731895E-03		2.5222334E-06	;
{105} 	211.902		2.0217136E-03		2.0020552E-06	;
{106} 	215.463		2.0938118E-03		8.2900107E-07	;
{107} 	213.688		2.1104966E-03		9.4879158E-07	;
{108} 	212.505		2.1059667E-03		7.4151882E-07	;
{109} 	214.442		2.0409564E-03		2.2976824E-06	;
{110} 	212.616		2.1949115E-03		1.3379560E-06	;
{111} 	213.647		2.1711611E-03		2.3259433E-06	;
{112} 	211.185		2.1197542E-03		8.8638393E-07	;
{113} 	213.635		2.0957093E-03		1.1478131E-06	;
{114} 	213.178		2.0487711E-03		1.6965050E-06	;
{115} 	214.479		2.2163151E-03		1.2672638E-06	;
{116} 	214.633		2.1478834E-03		1.5782975E-06	;
{117} 	211.877		2.1092710E-03		4.7368667E-07	;
{118} 	215.371		2.0823954E-03		7.6653129E-07	;
{119} 	209.484		2.2595152E-03		6.8483882E-07	;
{120} 	216.431		2.0777434E-03		2.4661772E-06	;
{121} 	211.472		2.2771740E-03		7.3207792E-07	;
{122} 	215.153		2.1270704E-03		1.9333618E-06	;
{123} 	214.648		2.1086074E-03		1.4254407E-06	;
{124} 	210.243		2.3705852E-03		7.6364819E-07	;
{125} 	209.478		2.3644725E-03		4.4907250E-07	;
{126} 	212.309		2.1252290E-03		2.1329283E-06	;
{127} 	210.969		2.2574659E-03		7.9517417E-07	;
{128} 	216.945		2.1034512E-03		2.6203031E-06	;
{129} 	213.857		2.0986130E-03		2.4440740E-06	;
{130} 	209.497		2.3750355E-03		5.7714971E-07	;
{131} 	214.182		2.2769303E-03		1.0920571E-06	;
{132} 	214.599		2.2595432E-03		1.1163274E-06	;
{133} 	213.287		2.3489690E-03		8.8407535E-07	;
{134} 	213.299		2.3519306E-03		8.8471648E-07	;
{135} 	211.243		2.3275262E-03		8.3419593E-07	;
{136} 	212.758		2.4943491E-03		8.9874345E-07	;
{137} 	213.284		2.2022338E-03		1.5396455E-06	;
{138} 	213.370		2.1788701E-03		6.4970982E-07	;
{139} 	212.804		2.1443595E-03		2.6027421E-06	;
{140} 	211.876		2.4313559E-03		8.0085374E-07	;
{141} 	211.270		2.3801795E-03		1.9126621E-06	;
{142} 	216.590		2.1439616E-03		2.6346602E-06	;
{143} 	212.933		2.6115167E-03		1.1727328E-06	;
{144} 	212.767		2.6197610E-03		7.6130249E-07	;
{145} 	210.406		2.6580486E-03		1.2940602E-06	;
{146} 	215.592		2.4339217E-03		1.0607454E-06	;
{147} 	210.840		2.5814478E-03		7.1459527E-07	;
{148} 	213.399		2.3717084E-03		6.6306063E-07	;
{149} 	212.336		2.6240079E-03		1.8540184E-06	;
{150} 	216.654		2.6697789E-03		1.5240201E-06	;
{151} 	217.637		2.3300936E-03		8.4928655E-07	;
{152} 	211.522		2.1555012E-03		9.5482892E-07	;
{153} 	213.082		2.2216958E-03		1.5570798E-06	;
{154} 	212.798		2.4243372E-03		1.2605514E-06	;
{155} 	211.495		2.6432422E-03		9.3802487E-07	;
{156} 	211.018		2.6548658E-03		8.9508649E-07	;
{157} 	212.217		2.1683441E-03		5.2660403E-07	;
{158} 	213.161		2.6379959E-03		1.4375642E-06	;
{159} 	216.866		2.1964647E-03		5.7086629E-07	;
{160} 	213.169		2.3185366E-03		2.1911246E-06	;
{161} 	215.472		2.3712385E-03		7.7812797E-07	;
{162} 	216.165		2.2234644E-03		7.4662978E-07	;
{163} 	213.716		2.6387512E-03		2.0448269E-06	;
{164} 	213.513		2.2711074E-03		2.2469196E-06	;
{165} 	213.187		2.5576400E-03		1.6777562E-06	;
{166} 	214.265		2.5113672E-03		1.8339509E-06	;
{167} 	210.594		2.3429224E-03		2.2981121E-06	;
{168} 	212.669		2.3630024E-03		1.9924303E-06	;
{169} 	211.564		2.8210285E-03		1.4118269E-06	;
{170} 	213.928		2.5948407E-03		1.3594056E-06	;
{171} 	212.436		2.5462150E-03		1.6911224E-06	;
{172} 	214.012		2.6205508E-03		2.1340406E-06	;
{173} 	211.716		2.2625211E-03		9.0502277E-07	;
{174} 	211.896		2.6238989E-03		1.3215608E-06	;
{175} 	209.073		2.6683528E-03		1.0400574E-06	;
{176} 	209.714		2.5466124E-03		1.4295405E-06	;
{177} 	210.930		2.2468842E-03		1.8228797E-06	;
{178} 	211.574		2.4836308E-03		1.1100598E-06	;
{179} 	208.043		2.5614998E-03		7.3507186E-07	;
{180} 	211.411		2.3097261E-03		2.0120206E-06	;
{181} 	211.008		2.6697747E-03		1.0258043E-06	;
{182} 	209.778		2.6042568E-03		1.0404352E-06	;
{183} 	212.101		2.3021980E-03		2.3292175E-06	;
{184} 	209.138		2.5457209E-03		1.8306772E-06	;
{185} 	209.364		2.4994106E-03		9.2111844E-07	;
{186} 	208.468		2.6565797E-03		3.6656343E-07	;
{187} 	206.591		2.3324273E-03		1.1349845E-06	;
{188} 	210.292		2.5702484E-03		7.9345250E-07	;
{189} 	212.862		2.3587926E-03		2.1086901E-06	;
{190} 	207.245		2.5047599E-03		1.8341977E-06	;
{191} 	212.184		2.3848084E-03		2.0494883E-06	;
{192} 	210.118		2.4178703E-03		1.6407081E-06	;
{193} 	208.272		2.5853254E-03		6.9247579E-07	;
{194} 	208.022		2.5116592E-03		1.4965951E-06	;
{195} 	205.216		2.5572071E-03		1.0352959E-06	;
{196} 	206.664		2.5589888E-03		5.0230932E-07	;
{197} 	208.515		2.5219896E-03		3.8931404E-07	;
{198} 	209.763		2.6506046E-03		7.7467263E-07	;
{199} 	206.718		2.5468229E-03		6.8800210E-07	;
{200} 	206.522		2.5233321E-03		9.1179032E-07	;
{201} 	207.260		2.5516043E-03		4.4232789E-07	;
{202} 	207.873		2.6044759E-03		5.7204608E-07	;
{203} 	204.825		2.4773555E-03		8.7622868E-07	;
{204} 	209.040		2.4621370E-03		1.4041851E-06	;
{205} 	210.281		2.3681645E-03		1.1687035E-06	;
{206} 	211.980		2.2731228E-03		1.1778043E-06	;
{207} 	211.844		2.1717949E-03		1.7262624E-06	;
{208} 	209.854		2.3630040E-03		1.2369604E-06	;
{209} 	209.964		2.3337433E-03		9.1274018E-07	;
{210} 	206.631		2.4667559E-03		1.3029841E-06	;
{211} 	204.776		2.3506545E-03		7.4194793E-07	;
{212} 	204.280		2.4416482E-03		9.4536068E-07	;
{213} 	205.684		2.4606301E-03		1.0764732E-06	;
{214} 	202.958		2.4796233E-03		7.6889899E-07	;
{215} 	206.207		2.3160290E-03		1.5627218E-06	;
{216} 	215.652		2.3201208E-03		1.4085252E-06	;
{217} 	214.260		2.3232682E-03		1.3161124E-06	;
{218} 	209.422		2.3233290E-03		1.4003441E-06	;
{219} 	206.769		2.2606119E-03		6.5421290E-07	;
{220} 	211.750		2.2461934E-03		1.8744133E-06	;
{221} 	206.193		2.2338396E-03		1.1130870E-06	;
{222} 	205.888		2.0902462E-03		9.3477178E-07	;
{223} 	206.394		2.3673102E-03		1.8678685E-06	;
{224} 	209.789		1.9226628E-03		5.9463127E-07	;
{225} 	209.967		1.9596086E-03		7.1021435E-07	;
