V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,X1,X2,X3,X4,X5,X6,X7
7.363157e-01+j2.977797e+00,1.763074e+00+j4.407047e+00,3.184132e+00+j5.527357e+00,4.914710e+00+j6.216987e+00,6.815515e+00+j6.375304e+00,8.699162e+00+j5.957523e+00,1.036280e+01+j5.003950e+00,1.163914e+01+j3.642511e+00,1.243928e+01+j2.055731e+00,1.276459e+01+j4.292087e-01,1.28265e-09,4.48035e-09,1612.8,2092.8,2019.6,1511.1,1073.25
1.514049e+00+j1.927944e+00,2.781583e+00+j1.817416e+00,3.627659e+00+j1.112832e+00,3.953504e+00+j2.477616e-01,3.901134e+00-j5.146907e-01,3.643563e+00-j1.088984e+00,3.303608e+00-j1.482673e+00,2.950582e+00-j1.733504e+00,2.617838e+00-j1.880752e+00,2.318506e+00-j1.956214e+00,2.74125e-09,3.26655e-09,3160.8,4776,2923.2,1629,1810.5
-3.269348e-02+j3.937852e-01,-8.520718e-02+j6.321897e-01,-1.751603e-01+j8.976826e-01,-3.243799e-01+j1.201637e+00,-5.739253e-01+j1.552897e+00,-1.000138e+00+j1.943217e+00,-1.732707e+00+j2.296217e+00,-2.903121e+00+j2.331612e+00,-4.261421e+00+j1.480398e+00,-4.758347e+00-j2.874325e-01,4.62315e-09,6.1506e-09,2384.4,240,1844.4,961.2,1981.5
3.337535e+00+j5.459617e+00,1.019656e+01+j4.596251e+00,1.123645e+01-j3.405247e+00,6.810789e+00-j6.096775e+00,4.108820e+00-j5.790192e+00,2.706473e+00-j5.087139e+00,1.917743e+00-j4.455345e+00,1.433645e+00-j3.941230e+00,1.115034e+00-j3.526551e+00,8.937643e-01-j3.188483e+00,4.4166e-09,6.22455e-09,3306,2881.2,2712,2692.8,1564.5
4.438353e-01-j7.407899e-02,3.721023e-01-j1.768981e-01,2.949310e-01-j2.180896e-01,2.311182e-01-j2.280796e-01,1.822194e-01-j2.234380e-01,1.455332e-01-j2.126320e-01,1.179814e-01-j1.997574e-01,9.707391e-02-j1.867139e-01,8.098940e-02-j1.743218e-01,6.842930e-02-j1.628957e-01,5.1e-08,6.40815e-09,3294,2690.4,1410,1821.6,2023.5
3.014351e-03+j1.277571e-02,6.792816e-03+j1.849715e-02,1.138858e-02+j2.283144e-02,1.626874e-02+j2.579253e-02,2.103831e-02+j2.756725e-02,2.545918e-02+j2.840937e-02,2.941993e-02+j2.856802e-02,3.289405e-02+j2.825291e-02,3.590328e-02+j2.762621e-02,3.849251e-02+j2.680642e-02,2.80245e-09,2.84325e-09,2539.2,1261.2,24,1741.5,1260.75
9.989899e-01+j1.069428e+00,1.652316e+00+j9.011739e-01,2.016838e+00+j5.060663e-01,2.139879e+00+j9.185825e-02,2.111715e+00-j2.604049e-01,2.001931e+00-j5.329619e-01,1.854761e+00-j7.322134e-01,1.695985e+00-j8.715052e-01,1.539709e+00-j9.644515e-01,1.392996e+00-j1.022688e+00,4.0086e-09,6.80085e-09,3372,2770.8,1230,1632.6,1915.5
-5.266005e-01+j4.065124e+00,-2.521840e+00+j8.608519e+00,-1.802424e+01+j1.581910e+01,-1.604159e+01-j1.595374e+01,-4.263812e+00-j1.085685e+01,-1.950637e+00-j7.644297e+00,-1.145839e+00-j5.937059e+00,-7.671512e-01-j4.887753e+00,-5.557850e-01-j4.174373e+00,-4.243222e-01-j3.655082e+00,6.6963e-09,3.1059e-09,2881.2,1722,3216,2039.4,776.25
-5.625998e+00+j1.530378e+00,-5.931068e+00+j8.121952e-01,-6.020034e+00+j3.660024e-01,-6.042012e+00+j4.080024e-02,-6.034198e+00-j2.209059e-01,-6.009371e+00-j4.447979e-01,-5.972949e+00-j6.435657e-01,-5.927662e+00-j8.242932e-01,-5.875089e+00-j9.911048e-01,-5.816290e+00-j1.146494e+00,3.83265e-09,3.0702e-09,3346.8,3090,2804.4,18000,1020
3.110470e-01+j1.110970e-01,3.472389e-01-j3.480619e-02,2.975876e-01-j1.257535e-01,2.366583e-01-j1.643034e-01,1.859224e-01-j1.750460e-01,1.473154e-01-j1.731061e-01,1.184630e-01-j1.658759e-01,9.678211e-02-j1.567713e-01,8.026607e-02-j1.473403e-01,6.748819e-02-j1.382587e-01,6.1761e-09,4.3911e-09,24000,3315.6,2546.4,939.6,2142.75
3.174832e-02+j1.507297e-01,7.362070e-02+j2.227122e-01,1.279140e-01+j2.814864e-01,1.899857e-01+j3.254116e-01,2.554745e-01+j3.544890e-01,3.207781e-01+j3.699135e-01,3.832558e-01+j3.735536e-01,4.411890e-01+j3.675272e-01,4.936194e-01+j3.539038e-01,5.401580e-01+j3.345416e-01,3.19515e-09,5.1e-10,3236.4,1996.8,1226.4,2088.9,1287.75
5.828904e-01+j1.052056e+00,1.242437e+00+j1.240879e+00,1.881033e+00+j1.063011e+00,2.311736e+00+j6.269379e-01,2.476815e+00+j1.107569e-01,2.431296e+00-j3.502856e-01,2.264601e+00-j7.012850e-01,2.048358e+00-j9.422131e-01,1.825330e+00-j1.094631e+00,1.616324e+00-j1.182719e+00,5.29125e-09,4.51605e-09,2950.8,2023.2,1245.6,2157.3,1814.25
3.814216e+00+j3.133609e+00,6.063913e+00+j1.403300e+00,6.260312e+00-j8.963805e-01,5.364413e+00-j2.344033e+00,4.321138e+00-j2.988991e+00,3.444016e+00-j3.184560e+00,2.766637e+00-j3.165572e+00,2.252935e+00-j3.052459e+00,1.861590e+00-j2.903021e+00,1.559730e+00-j2.744414e+00,3.6567e-09,7.23435e-09,3067.2,3536.4,2610,2169.9,1802.25
