20 7  (freq sample n.*outvalues) of v1  varying components: C1 = 5.1e-09, C2 = 5.1e-09, R1 = 2400, R2 = 2400, R3 = 2400, R4 = 1800, R5 = 1500, 
 * Columns: Amplitude - Phase (rad) - 
   3.06748	   1.32839	   4.74663	   1.19024	    6.3789	   1.04816	   7.92498	  0.901857	   9.33251	  0.752038	   10.5436	  0.600478	   11.5077	  0.449855	   12.1958	  0.303298	    12.608	  0.163781	   12.7718	 0.0336123	1.28265e-09	4.48035e-09	    1612.8	    2092.8	    2019.6	    1511.1	   1073.25	
   2.45139	  0.905072	   3.32268	  0.578744	   3.79451	   0.29765	   3.96126	  0.062587	   3.93494	 -0.131176	   3.80282	 -0.290428	   3.62107	 -0.421859	   3.42213	 -0.531187	    3.2234	 -0.622993	   3.03352	 -0.700848	2.74125e-09	3.26655e-09	    3160.8	      4776	    2923.2	      1629	    1810.5	
   0.39514	   1.65363	  0.637906	   1.70477	  0.914612	    1.7635	   1.24465	   1.83446	   1.65556	   1.92481	   2.18549	   2.04612	   2.87661	   2.21723	   3.72351	   2.46494	   4.51124	   2.80724	   4.76702	  -3.08126	4.62315e-09	6.1506e-09	    2384.4	       240	    1844.4	     961.2	    1981.5	
   6.39895	    1.0221	   11.1846	   0.42349	   11.7411	 -0.294256	   9.14098	 -0.730137	   7.09991	 -0.953645	   5.76229	  -1.08186	   4.85055	  -1.16433	   4.19388	  -1.22192	   3.69863	  -1.26456	   3.31138	   -1.2975	4.4166e-09	6.22455e-09	      3306	    2881.2	      2712	    2692.8	    1564.5	
  0.449975	 -0.165382	  0.412011	 -0.443776	  0.366807	 -0.636721	  0.324709	 -0.778781	   0.28832	  -0.88666	  0.257667	 -0.970592	  0.231997	   -1.0373	  0.210441	  -1.09135	  0.192217	  -1.13587	  0.176685	   -1.1731	   5.1e-08	6.40815e-09	      3294	    2690.4	      1410	    1821.6	    2023.5	
 0.0131265	   1.33909	  0.019705	   1.21885	 0.0255142	    1.1081	 0.0304947	   1.00807	  0.034678	  0.918924	 0.0381479	   0.84011	 0.0410081	  0.770708	 0.0433618	  0.709642	 0.0453018	  0.655841	 0.0469069	   0.60831	2.80245e-09	2.84325e-09	    2539.2	    1261.2	        24	    1741.5	   1260.75	
   1.46344	  0.819439	   1.88209	  0.499305	   2.07936	  0.245845	   2.14185	 0.0429005	   2.12771	 -0.122695	   2.07166	 -0.260189	   1.99406	 -0.375994	    1.9068	 -0.474677	   1.81683	 -0.559595	    1.7281	 -0.633289	4.0086e-09	6.80085e-09	      3372	    2770.8	      1230	    1632.6	    1915.5	
   4.09909	   1.69962	    8.9703	   1.85577	   23.9816	   2.42126	   22.6242	  -2.35894	   11.6641	  -1.94502	   7.88925	  -1.82064	   6.04662	  -1.76145	   4.94759	  -1.72648	   4.21121	  -1.70316	   3.67963	  -1.68637	6.6963e-09	3.1059e-09	    2881.2	      1722	      3216	    2039.4	    776.25	
   5.83043	     2.876	   5.98642	    3.0055	   6.03115	   3.08087	   6.04215	   3.13484	   6.03824	    -3.105	   6.02581	  -3.06771	   6.00752	  -3.03426	    5.9847	  -3.00342	    5.9581	  -2.97447	   5.92821	  -2.94697	3.83265e-09	3.0702e-09	    3346.8	      3090	    2804.4	     18000	      1020	
  0.330292	  0.343049	  0.348979	-0.0999033	  0.323067	 -0.399816	  0.288102	 -0.606866	  0.255359	 -0.755276	  0.227305	 -0.865715	  0.203834	 -0.950626	  0.184239	  -1.01772	  0.167785	  -1.07198	  0.153851	  -1.11669	6.1761e-09	4.3911e-09	     24000	    3315.6	    2546.4	     939.6	   2142.75	
  0.154037	    1.3632	  0.234565	   1.25154	  0.309187	   1.14427	  0.376812	   1.04235	  0.436955	  0.946323	  0.489627	  0.856418	  0.535189	  0.772579	  0.574216	  0.694564	  0.607378	  0.622016	  0.635365	  0.554519	3.19515e-09	   5.1e-10	    3236.4	    1996.8	    1226.4	    2088.9	   1287.75	
   1.20274	   1.06485	   1.75597	  0.784771	   2.16062	  0.514378	   2.39524	  0.264828	   2.47929	 0.0446877	    2.4564	 -0.143089	    2.3707	 -0.300307	   2.25467	 -0.431126	   2.12839	 -0.540191	   2.00283	 -0.631708	5.29125e-09	4.51605e-09	    2950.8	    2023.2	    1245.6	    2157.3	   1814.25	
   4.93637	   0.68775	   6.22417	  0.227415	   6.32416	 -0.142218	   5.85418	 -0.411957	   5.25417	 -0.605143	    4.6907	 -0.746276	   4.20418	 -0.852546	   3.79384	 -0.934973	   3.44863	  -1.00059	   3.15667	  -1.05399	3.6567e-09	7.23435e-09	    3067.2	    3536.4	      2610	    2169.9	   1802.25	
